iters	scheduling	tab_size	time
0		2	0m0.004s
1		2	0m0.002s
2		2	0m0.002s
3		2	0m0.002s
4		2	0m0.002s
5		2	0m0.002s
6		2	0m0.002s
7		2	0m0.003s
8		2	0m0.002s
9		2	0m0.002s
0		20	0m0.003s
1		20	0m0.002s
2		20	0m0.002s
3		20	0m0.003s
4		20	0m0.002s
5		20	0m0.002s
6		20	0m0.002s
7		20	0m0.002s
8		20	0m0.003s
9		20	0m0.002s
0		200	0m0.002s
1		200	0m0.002s
2		200	0m0.002s
3		200	0m0.003s
4		200	0m0.003s
5		200	0m0.002s
6		200	0m0.003s
7		200	0m0.002s
8		200	0m0.002s
9		200	0m0.002s
0		2000	0m0.002s
1		2000	0m0.002s
2		2000	0m0.002s
3		2000	0m0.002s
4		2000	0m0.002s
5		2000	0m0.002s
6		2000	0m0.002s
7		2000	0m0.002s
8		2000	0m0.002s
9		2000	0m0.002s
0		20000	0m0.002s
1		20000	0m0.002s
2		20000	0m0.003s
3		20000	0m0.002s
4		20000	0m0.002s
5		20000	0m0.002s
6		20000	0m0.002s
7		20000	0m0.004s
8		20000	0m0.002s
9		20000	0m0.002s
0		200000	0m0.008s
1		200000	0m0.007s
2		200000	0m0.007s
3		200000	0m0.007s
4		200000	0m0.007s
5		200000	0m0.007s
6		200000	0m0.007s
7		200000	0m0.007s
8		200000	0m0.007s
9		200000	0m0.007s
0		2000000	0m0.046s
1		2000000	0m0.047s
2		2000000	0m0.048s
3		2000000	0m0.048s
4		2000000	0m0.046s
5		2000000	0m0.048s
6		2000000	0m0.048s
7		2000000	0m0.048s
8		2000000	0m0.046s
9		2000000	0m0.046s
0		20000000	0m0.453s
1		20000000	0m0.456s
2		20000000	0m0.453s
3		20000000	0m0.454s
4		20000000	0m0.454s
5		20000000	0m0.454s
6		20000000	0m0.453s
7		20000000	0m0.455s
8		20000000	0m0.454s
9		20000000	0m0.454s
0		200000000	0m4.519s
1		200000000	0m4.507s
2		200000000	0m4.507s
3		200000000	0m4.514s
4		200000000	0m4.512s
5		200000000	0m4.506s
6		200000000	0m4.509s
7		200000000	0m4.509s
8		200000000	0m4.523s
9		200000000	0m4.506s
