iters	problem_size	bucket_range	threads	time_a	time_b	time_c	time_d	time_e
0	50000000	40960	1	0.246037s	1.026435s	2.293545s	0.029930s	3.595947s
1	50000000	40960	1	0.323260s	1.042556s	2.246715s	0.037477s	3.650008s
2	50000000	40960	1	0.241475s	0.946609s	2.329682s	0.071980s	3.589746s
3	50000000	40960	1	0.270311s	1.182039s	2.283031s	0.031837s	3.767217s
4	50000000	40960	1	0.292460s	0.974276s	2.264697s	0.030913s	3.562345s
0	50000000	40960	2	0.145437s	1.258438s	1.260053s	0.033099s	2.697027s
1	50000000	40960	2	0.138136s	1.276386s	1.161300s	0.027921s	2.603744s
2	50000000	40960	2	0.149619s	1.260786s	1.182531s	0.038914s	2.631850s
3	50000000	40960	2	0.128173s	1.196148s	1.212966s	0.031202s	2.568489s
4	50000000	40960	2	0.130689s	1.253509s	1.178745s	0.029405s	2.592347s
0	50000000	40960	3	0.094187s	1.328279s	0.845579s	0.039659s	2.307704s
1	50000000	40960	3	0.098398s	1.362893s	0.869429s	0.028030s	2.358751s
2	50000000	40960	3	0.096768s	1.296118s	0.875695s	0.028467s	2.297049s
3	50000000	40960	3	0.095496s	1.387803s	0.964511s	0.029128s	2.476939s
4	50000000	40960	3	0.141067s	1.298645s	0.890887s	0.028616s	2.359215s
0	50000000	40960	4	0.083531s	1.462637s	0.925088s	0.028244s	2.499500s
1	50000000	40960	4	0.079018s	1.364074s	0.734006s	0.035738s	2.212836s
2	50000000	40960	4	0.115693s	1.484909s	0.740384s	0.032589s	2.373574s
3	50000000	40960	4	0.168321s	1.463558s	0.718787s	0.029860s	2.380527s
4	50000000	40960	4	0.084713s	1.419811s	0.723855s	0.027995s	2.256375s
0	50000000	40960	5	0.099188s	1.328081s	0.808195s	0.034956s	2.270420s
1	50000000	40960	5	0.138383s	1.195212s	0.756316s	0.035333s	2.125243s
2	50000000	40960	5	0.093506s	1.317102s	0.754542s	0.026281s	2.191432s
3	50000000	40960	5	0.105314s	1.250296s	0.966594s	0.033579s	2.355784s
4	50000000	40960	5	0.114862s	1.435757s	1.038246s	0.031237s	2.620103s
0	50000000	40960	6	0.137258s	1.703637s	0.691527s	0.027999s	2.560421s
1	50000000	40960	6	0.105787s	1.445820s	0.859669s	0.029182s	2.440458s
2	50000000	40960	6	0.096010s	1.243243s	0.837538s	0.028073s	2.204864s
3	50000000	40960	6	0.087740s	1.280172s	0.785692s	0.039609s	2.193213s
4	50000000	40960	6	0.151872s	1.284780s	0.759187s	0.032912s	2.228750s
0	50000000	40960	7	0.091588s	1.310146s	0.847050s	0.032734s	2.281519s
1	50000000	40960	7	0.104997s	1.457339s	0.695159s	0.029624s	2.287119s
2	50000000	40960	7	0.113635s	1.292435s	0.747149s	0.037211s	2.190431s
3	50000000	40960	7	0.088630s	1.269338s	0.880120s	0.030905s	2.268994s
4	50000000	40960	7	0.114152s	1.221088s	0.903593s	0.043764s	2.282596s
0	50000000	40960	8	0.103113s	1.501955s	0.875292s	0.031410s	2.511770s
1	50000000	40960	8	0.113460s	1.273739s	0.782720s	0.027796s	2.197715s
2	50000000	40960	8	0.102856s	1.280811s	0.828652s	0.027333s	2.239651s
3	50000000	40960	8	0.104247s	1.405557s	0.739219s	0.027307s	2.276331s
4	50000000	40960	8	0.087830s	1.407873s	0.738067s	0.027243s	2.261013s
